website,website_timestamp,urlkey,timestamp,original,mimetype,statuscode,digest,length,width,height,size,animated,frame_count,animation_duration,loop_count,iab_size,jiaa_size,image_tag_width,image_tag_height,image_tag_parent_href,image_tag_full_parent_href,image_tag_alt_text
nikkeibp.co.jp,20000511101011,"jp,co,nikkeibp,bizad)/image/ng_biztech/hitachisuperh991001.gif",20000925212420,http://bizad.nikkeibp.co.jp:80/image/ng_biztech/hitachisuperh991001.gif,im,200,WGZQRI7HDFTA5CQ5BK4V2YYAZIXMHYWM,10016,468,60,9842,True,10,5000,0,Full Banner,Regular Banner,468,60,/event.ng/Type=click&ProfileID=62&RunID=1419&AdID=1419&GroupID=11&FamilyID=1&TagValues=263&Redirect=http:%2F%2Fwww.super-h.com%2F,http://bizad.nikkeibp.co.jp:80/event.ng/Type=click&ProfileID=62&RunID=1419&AdID=1419&GroupID=11&FamilyID=1&TagValues=263&Redirect=http:%2F%2Fwww.super-h.com%2F,HITACHI Click Here!
nikkei.co.jp,20000511084722,"jp,co,nikkei)/ad/logo/daiwa9904-b3.gif",20040829052208,http://www.nikkei.co.jp/ad/logo/daiwa9904-b3.gif,image/gif,200,BRQAWJJDA2QKOLQUZ4BAAJAS5YFB5MWP,10430,468,60,12049,True,16,32000,0,Full Banner,Regular Banner,468,60,/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,http://globe.nikkei.co.jp:80/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,Daiwa Securities
nikkei.co.jp,20000511021624,"jp,co,nikkei)/ad/logo/daiwa9904-b3.gif",20040829052208,http://www.nikkei.co.jp/ad/logo/daiwa9904-b3.gif,image/gif,200,BRQAWJJDA2QKOLQUZ4BAAJAS5YFB5MWP,10430,468,60,12049,True,16,32000,0,Full Banner,Regular Banner,468,60,/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,http://globe.nikkei.co.jp:80/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,Daiwa Securities
nikkei.co.jp,20000511183548,"jp,co,nikkei)/ad/logo/daiwa9904-b3.gif",20040829052208,http://www.nikkei.co.jp/ad/logo/daiwa9904-b3.gif,image/gif,200,BRQAWJJDA2QKOLQUZ4BAAJAS5YFB5MWP,10430,468,60,12049,True,16,32000,0,Full Banner,Regular Banner,468,60,/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,http://globe.nikkei.co.jp:80/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,Daiwa Securities
nikkei.co.jp,20000511005201,"jp,co,nikkei)/ad/logo/daiwa9904-b3.gif",20040829052208,http://www.nikkei.co.jp/ad/logo/daiwa9904-b3.gif,image/gif,200,BRQAWJJDA2QKOLQUZ4BAAJAS5YFB5MWP,10430,468,60,12049,True,16,32000,0,Full Banner,Regular Banner,468,60,/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,http://globe.nikkei.co.jp:80/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,Daiwa Securities
nikkei.co.jp,20000510210039,"jp,co,nikkei)/ad/logo/daiwa9904-b3.gif",20040829052208,http://www.nikkei.co.jp/ad/logo/daiwa9904-b3.gif,image/gif,200,BRQAWJJDA2QKOLQUZ4BAAJAS5YFB5MWP,10430,468,60,12049,True,16,32000,0,Full Banner,Regular Banner,468,60,/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,http://globe.nikkei.co.jp:80/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,Daiwa Securities
nikkei.co.jp,20000510010756,"jp,co,nikkei)/ad/logo/daiwa9904-b3.gif",20040829052208,http://www.nikkei.co.jp/ad/logo/daiwa9904-b3.gif,image/gif,200,BRQAWJJDA2QKOLQUZ4BAAJAS5YFB5MWP,10430,468,60,12049,True,16,32000,0,Full Banner,Regular Banner,468,60,/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,http://globe.nikkei.co.jp:80/event.ng/Type=click&ProfileID=11&RunID=1857&AdID=1345&GroupID=1&FamilyID=144&TagValues=157.164.168.180.187.194.208.228&Redirect=http:%2F%2Fwww.daiwa.co.jp%2FPR%2Fad%2F990426.html,Daiwa Securities
nifty.com,20000511063529,"com,nifty)/images/ie_horiz.gif",20000517010124,http://www.nifty.com:80/images/IE_horiz.gif,im,200,SVHBPFDWUKLCRFNKI3TBT6VUUISCU2OL,1190,88,31,896,True,1,0,0,Micro Button,,88,31,http://www.nifty.com/ie/index.htm,http://www.nifty.com/ie/index.htm,Internet Explorer
nifty.com,20000511044443,"com,nifty)/images/ie_horiz.gif",20000517010124,http://www.nifty.com:80/images/IE_horiz.gif,im,200,SVHBPFDWUKLCRFNKI3TBT6VUUISCU2OL,1190,88,31,896,True,1,0,0,Micro Button,,88,31,http://www.nifty.com/ie/index.htm,http://www.nifty.com/ie/index.htm,Internet Explorer
nifty.com,20000511120839,"com,nifty)/images/ie_horiz.gif",20000517010124,http://www.nifty.com:80/images/IE_horiz.gif,im,200,SVHBPFDWUKLCRFNKI3TBT6VUUISCU2OL,1190,88,31,896,True,1,0,0,Micro Button,,88,31,http://www.nifty.com/ie/index.htm,http://www.nifty.com/ie/index.htm,Internet Explorer
