website,website_timestamp,urlkey,timestamp,original,mimetype,statuscode,digest,length,width,height,size,animated,frame_count,animation_duration,loop_count,iab_size,jiaa_size,image_tag_parent_href,image_tag_full_parent_href,image_tag_alt_text
asahi.com,20000511104501,"com,asahi)/images/nu_society.gif",20000422030119,http://www.asahi.com:80/images/nu_society.gif,im,200,OOCBXOGYNMHRD7LHDSOQZQSUMH2AWBO3,433,28,16,162,True,1,0,0,,,,,社会
asahi.com,20000511104501,"com,asahi)/images/get-nc.gif",20000423170745,http://www.asahi.com:80/images/get-nc.gif,im,200,DAERMCNLWIS45DQ5FB72QFU7PI7SLG2B,1567,84,31,1283,False,1,0,0,,,http://home.netscape.com/download/index.html#top,http://home.netscape.com/download/index.html#top,
asahi.com,20000511104501,"com,asahi)/images/news_update_title_03.gif",20000711042530,http://www.asahi.com:80/images/news_update_title_03.gif,im,200,6TA53K77FJEZV2AAWPCBKGDQCWHQ7EBV,2058,483,18,1733,False,1,0,0,,,,,news update
asahi.com,20000511104501,"com,asahi)/images/menu01b.gif",20000815073445,http://www.asahi.com:80/images/menu01b.gif,image/gif,200,L7F2VCINUAEACVXEHVTOA37MWH4UJCIV,1582,82,64,1281,True,1,0,0,,,,,
asahi.com,20000511104501,"com,asahi)/images/nu_sports.gif",20000429031802,http://www.asahi.com:80/images/nu_sports.gif,im,200,RWYTFFCCJJOEDNYQXQ7IFFLRRHXCMCMO,479,51,16,207,True,1,0,0,,,,,スポーツ
asahi.com,20000511104501,"com,asahi)/images/line_157pix.gif",20000510074648,http://www.asahi.com:80/images/line_157pix.gif,im,200,4L4VV2O2ATT5XD74SNGSQF3KTYLE7MSA,341,157,3,68,False,1,0,0,,,,,
asahi.com,20000511104501,"com,asahi)/images/menu01a.gif",20000815073441,http://www.asahi.com:80/images/menu01a.gif,image/gif,200,DEPZGEGDEKZ6NF7VRADEGFL2GW2Y5MBM,3226,82,173,2876,True,1,0,0,,,,,
asahi.com,20000511104501,"com,asahi)/images/nu_internatinal.gif",20000427015610,http://www.asahi.com:80/images/nu_internatinal.gif,im,200,FF5NTKQZBTX473K7KGBBCLG34TDZ3L64,445,28,16,164,True,1,0,0,,,,,国際
asahi.com,20000511104501,"com,asahi)/images/get-ie.gif",20000508185824,http://www.asahi.com:80/images/get-ie.gif,im,200,PC2HKL4GPXL4QFGQFEFH2AKJACFKGD66,2637,84,30,2460,False,1,0,0,,,http://www.microsoft.com/ie_intl/ja/download,http://www.microsoft.com/ie_intl/ja/download,
asahi.com,20000511104501,"com,asahi)/images/nu_economy.gif",20000409000400,http://www.asahi.com:80/images/nu_economy.gif,im,200,6BEUF7GPC5POBKTCH7UY52HUCHWGPBTY,478,28,16,177,True,1,0,0,,,,,経済
