rank,website,is_japanese,category
1,yahoo.co.jp,true,portal
2,microsoft.com,false,corporate
3,biglobe.ne.jp,true,portal
4,geocities.co.jp,true,services
5,nifty.com,true,portal
6,nifty.ne.jp,true,portal
7,dti.ne.jp,true,ISP
8,so-net.ne.jp,true,portal
9,msn.com,false,portal
10,hi-ho.ne.jp,true,portal
11,infoweb.ne.jp,true,portal
12,mbn.or.jp,true,ISP
13,lycos.co.jp,true,portal
14,goo.ne.jp,true,portal
15,odn.ne.jp,true,portal
16,asahi-net.or.jp,true,ISP
17,justnet.ne.jp,true,ISP
18,rim.or.jp,true,ISP
19,interq.or.jp,true,ISP
20,iij4u.or.jp,true,ISP
21,neweb.ne.jp,true,ISP
22,infoseek.co.jp,true,portal
23,bekkoame.ne.jp,true,ISP
24,ocn.ne.jp,true,portal
25,rakuten.co.jp,true,shopping
26,dion.ne.jp,true,ISP
27,plala.or.jp,true,portal
28,freeweb.ne.jp,true,services
29,impress.co.jp,true,content
30,nikkeibp.co.jp,true,content
31,sakura.ne.jp,true,services
32,highway.ne.jp,true,ISP
33,tcup.com,true,shopping
34,msn.co.jp,true,portal
35,vector.co.jp,true,content
36,tripod.co.jp,true,services
37,3web.ne.jp,true,ISP
38,big.or.jp,true,ISP
39,cplaza.ne.jp,true,ISP
40,iijnet.or.jp,true,ISP
41,isize.com,true,portal
42,excite.co.jp,true,portal
43,cool.ne.jp,true,ISP
44,real.com,false,corporate
45,din.or.jp,true,ISP
46,geocities.com,false,services
47,www.ne.jp,true,portal
48,xaxon.ne.jp,true,ISP
49,nikkei.co.jp,true,content
50,asahi.com,true,content
